Timestamp;Event;Mess 1;RPM;MAP;Boost;Load %;Idle;Lambda 1;Inj. Pulse;Inj. Utiliz.;VE Value;Ign. Adv.;Knock;A/C Input;Start Input;Outputs 1;Outputs 2;Lambda 2;Mess 2;Batt Volt.;CLT;IAT;Inj. DT;Ign. Dwell;KM/H;Lambda Loop;Lambda Target;Lambda Corr;Strobo Angle;Turbo Target;ACC %;ACP %;dACC %;0;0
1778727480474;;#D01;3415;20;10;41;41;1119;107;6;638;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;86;0;1000;1009;1170;150;0;784;5000;0;4
1778727480576;;#D01;3425;20;10;41;41;1119;108;6;638;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;85;0;1000;1009;1170;150;0;793;5000;0;4
1778727480662;;#D01;3391;20;10;41;41;1120;107;6;637;39;0;1;1000;1101;0;0;#D02;142;360;327;536;344;85;0;1000;1009;1170;150;0;798;5000;0;4
1778727480763;;#D01;3387;20;10;41;41;1120;107;6;637;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;85;0;1000;1009;1170;150;0;801;5000;0;4
1778727480864;;#D01;3383;20;10;41;41;1119;109;6;637;39;0;1;1000;1101;0;0;#D02;142;360;327;536;344;85;0;1000;1009;1170;150;0;801;5000;0;4
1778727480963;;#D01;3371;21;10;41;41;1120;111;6;640;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;85;0;1000;1009;1170;150;0;803;5000;0;4
1778727481071;;#D01;3371;21;10;41;41;1120;107;6;636;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;85;0;1000;1009;1170;150;0;802;5000;0;4
1778727481170;;#D01;3357;20;10;41;41;1120;108;6;636;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;85;0;1000;1009;1170;150;0;803;5000;0;4
1778727481289;;#D01;3347;21;10;41;41;1120;111;6;639;39;0;1;1000;1101;0;0;#D02;142;360;327;536;344;85;0;1000;1009;1170;150;0;799;5000;0;4
1778727481370;;#D01;3337;21;10;41;41;1120;110;6;638;39;0;1;1000;1101;0;0;#D02;141;360;327;543;347;83;0;1000;1009;1170;150;0;797;5000;0;4
